"","index","ch1","ch2","value"
"1",1,"Fp1-0","Fp1-0",1
"2",2,"Fp2-0","Fp1-0",1
"3",3,"F7-0","Fp1-0",1
"4",5,"F3-0","Fp1-0",1
"5",7,"Fz-0","Fp1-0",1
"6",32,"Fp1-1","Fp1-0",1
"7",33,"Fp2-1","Fp1-0",1
"8",34,"F7-1","Fp1-0",1
"9",36,"F3-1","Fp1-0",1
"10",38,"Fz-1","Fp1-0",1
"11",1,"Fp1-0","Fp2-0",1
"12",2,"Fp2-0","Fp2-0",1
"13",4,"F8-0","Fp2-0",1
"14",6,"F4-0","Fp2-0",1
"15",7,"Fz-0","Fp2-0",1
"16",32,"Fp1-1","Fp2-0",1
"17",33,"Fp2-1","Fp2-0",1
"18",35,"F8-1","Fp2-0",1
"19",37,"F4-1","Fp2-0",1
"20",38,"Fz-1","Fp2-0",1
"21",1,"Fp1-0","F7-0",1
"22",3,"F7-0","F7-0",1
"23",5,"F3-0","F7-0",1
"24",8,"FT9-0","F7-0",1
"25",10,"FC5-0","F7-0",1
"26",32,"Fp1-1","F7-0",1
"27",34,"F7-1","F7-0",1
"28",36,"F3-1","F7-0",1
"29",39,"FT9-1","F7-0",1
"30",41,"FC5-1","F7-0",1
"31",2,"Fp2-0","F8-0",1
"32",4,"F8-0","F8-0",1
"33",6,"F4-0","F8-0",1
"34",9,"FT10-0","F8-0",1
"35",13,"FC6-0","F8-0",1
"36",33,"Fp2-1","F8-0",1
"37",35,"F8-1","F8-0",1
"38",37,"F4-1","F8-0",1
"39",40,"FT10-1","F8-0",1
"40",44,"FC6-1","F8-0",1
"41",1,"Fp1-0","F3-0",1
"42",3,"F7-0","F3-0",1
"43",5,"F3-0","F3-0",1
"44",7,"Fz-0","F3-0",1
"45",10,"FC5-0","F3-0",1
"46",11,"FC1-0","F3-0",1
"47",32,"Fp1-1","F3-0",1
"48",34,"F7-1","F3-0",1
"49",36,"F3-1","F3-0",1
"50",38,"Fz-1","F3-0",1
"51",41,"FC5-1","F3-0",1
"52",42,"FC1-1","F3-0",1
"53",2,"Fp2-0","F4-0",1
"54",4,"F8-0","F4-0",1
"55",6,"F4-0","F4-0",1
"56",7,"Fz-0","F4-0",1
"57",12,"FC2-0","F4-0",1
"58",13,"FC6-0","F4-0",1
"59",33,"Fp2-1","F4-0",1
"60",35,"F8-1","F4-0",1
"61",37,"F4-1","F4-0",1
"62",38,"Fz-1","F4-0",1
"63",43,"FC2-1","F4-0",1
"64",44,"FC6-1","F4-0",1
"65",1,"Fp1-0","Fz-0",1
"66",2,"Fp2-0","Fz-0",1
"67",5,"F3-0","Fz-0",1
"68",6,"F4-0","Fz-0",1
"69",7,"Fz-0","Fz-0",1
"70",11,"FC1-0","Fz-0",1
"71",12,"FC2-0","Fz-0",1
"72",32,"Fp1-1","Fz-0",1
"73",33,"Fp2-1","Fz-0",1
"74",36,"F3-1","Fz-0",1
"75",37,"F4-1","Fz-0",1
"76",38,"Fz-1","Fz-0",1
"77",42,"FC1-1","Fz-0",1
"78",43,"FC2-1","Fz-0",1
"79",3,"F7-0","FT9-0",1
