,channel_1,channel_2,alpha,beta,gamma
0,0,0,0.0,0.0,0.0
1,0,1,-0.00500919051865956,0.027236042294359684,0.12959614699850477
2,0,2,-0.021239425971153893,0.20605479743238,0.1909861444561393
3,0,3,-0.000871063321955099,0.3900166681380939,0.2874897387807952
4,0,4,-0.15480906347470422,-0.42652719702240227,-0.49674293824844606
5,0,5,-0.5298330285654445,-1.217115680163919,-0.8031908623703452
6,0,6,-0.46456723242602804,-1.687848658358208,-0.624796706300238
7,0,7,-0.011233075097413836,0.2819288148741026,0.3735862168730996
8,0,8,0.0021712591094405825,-0.6169599429063969,-1.082348682165889
9,0,9,-0.4145920057658519,-0.20039620108737954,-0.2767732413723523
10,0,10,-1.699579040451481,-0.5902530761959006,0.3018000083874672
11,0,11,-1.3527692082527016,-0.6749386744583497,0.18805036650846058
12,0,12,-0.09325133232159259,0.5185097251857925,-0.22720918200360365
13,0,13,0.6628545777523627,0.9661024200852351,-0.1469070670486683
14,0,14,0.48911901862906026,0.978601000066963,0.34392255606589733
15,0,15,0.5901523769300848,0.40585509491178506,-0.2579480418817644
16,0,16,0.04950497355785398,-0.22450953356092365,-0.6627692740032185
17,0,17,0.8011351827676648,0.21445762333044097,-0.42110664284288774
18,0,18,0.6824175139135125,1.5508499630806973,1.3516611158543814
19,0,19,-0.4139846951605345,-0.4794574948644124,-0.22773945486518102
20,0,20,0.07230777832383978,-0.024948169531166065,0.0889644805126263
21,0,21,-0.0366768372969608,-0.1204857411691203,-0.23527173488739203
22,0,22,-0.22545591170847334,-0.42002286806014694,-0.5300411913426841
23,0,23,0.3240588531499533,-0.8737774961843738,-1.9147645992122793
24,0,24,-1.2970245606876207,-0.8241388935073971,-0.4496796035919256
25,0,25,-0.05474843121079616,-0.2562284459369375,-0.30434909325151355
26,0,26,0.017163654706346485,-0.06778985290573127,-0.0030964579732460727
27,0,27,-0.047747031737404494,-0.12971955909222457,-0.20572612509110247
28,0,28,-0.727877882079205,-1.1365381824162388,-1.1374431660818203
29,0,29,-0.5763005190447668,-1.028125238690705,-0.6683628947625088
30,0,30,-0.3696374495548217,-0.6246904965640904,-0.4575498211310225
31,0,31,0.5772123452532419,0.2622407551753804,-0.15255887163743614
32,0,32,0.20322675278053454,-0.06761530042140494,0.36865487076959114
33,0,33,0.8362722156169402,0.06680331015935125,-0.14048834880421218
34,0,34,0.22301868525817115,0.06114020614044795,0.27779053482051547
35,0,35,0.414240628718057,0.167857594028247,-0.563663852870847
36,0,36,0.07528129273407275,-0.04656887025903744,0.4599879719736858
37,0,37,-0.1779936531129915,0.2580050980811545,-0.16663807931515157
38,0,38,0.1970459653607411,0.1663599405134967,-0.24144066274208204
39,0,39,0.4877327978119238,-0.04233709495967471,0.20724611561208264
40,0,40,-0.735873926844892,0.06743719840472195,0.06762452342285759
41,0,41,0.38657280820707546,0.18403727337782003,-0.1805711739124805
42,0,42,-0.15024498820899773,-0.4712007240628177,-0.3607578327289123
